combination_id,take_profit,stop_loss,leverage,trading_mode,max_candles,minimum_timeframes,tf1_interval,tf1_role,tf1_min_swing_pct,tf1_lookback,tf1_min_leg_bars,tf1_weight,tf1_opposite,initial_capital,final_capital,total_return_pct,total_trades,winning_trades,losing_trades,win_rate_pct,total_signals,confirmed_signals,confirmation_rate_pct,execution_rate_pct,signals_per_day,trades_per_day,avg_trade_duration_hours,max_drawdown_pct,sharpe_ratio,profit_factor,avg_win_pct,avg_loss_pct,largest_win_pct,largest_loss_pct,consecutive_wins,consecutive_losses,total_fees,net_profit,roi_annualized_pct,execution_time_ms,error_message
4,0.9,0.4,1,pivot,20160,1,4h,primary,0,2,1,1,false,100,90.92083375475734,-9.07916624524266,39,11,27,28.205128205128204,67,67,100,58.2089552238806,4.785951684111314,2.7858524728409146,5.208771929824561,0,0,0.47654251602038566,0.9514040357172142,0.4423929865974805,1.1164577919634517,-0.7237163814180929,0,0,0,-9.07916624524266,-236.71857624383858,29438,
3,0.9,0.4,1,pivot,20160,1,4h,primary,0,1,3,1,false,100,97.96651226317435,-2.0334877368256485,25,10,14,40,28,28,100,89.28571428571429,2.0000992112704004,1.7858028672057142,4.141666666666667,0,0,0.7837589455142162,0.9370312765633007,0.4717000358898998,1.014848469023622,-0.6707297865038251,0,0,0,-2.0334877368256485,-53.01856017042317,29536,
1,0.9,0.4,1,pivot,20160,1,4h,primary,0,1,1,1,false,100,90.31311678158428,-9.686883218415716,44,13,30,29.545454545454547,82,82,100,53.65853658536586,5.857433404434744,3.1430130462820576,4.8344961240310065,0,0,0.4999555730194503,0.9450124565745506,0.44573483846282774,1.1164577919634517,-0.7237163814180929,0,0,0,-9.686883218415716,-252.56341185571208,30345,
2,0.9,0.4,1,pivot,20160,1,4h,primary,0,1,2,1,false,100,89.82765557800948,-10.172344421990516,32,7,24,21.875,41,41,100,78.04878048780488,2.928716702217372,2.2858276700233144,4.343010752688172,0,0,0.33099658833795087,0.9189823037806869,0.4335508561856373,0.9602806237032867,-0.6101354057485663,0,0,0,-10.172344421990516,-265.2207067909229,30712,
6,0.9,0.4,1,pivot,20160,1,4h,primary,0,2,3,1,false,100,94.19780254951431,-5.802197450485693,21,5,15,23.809523809523807,25,25,100,84,1.7858028672057142,1.5000744084528002,5.616666666666666,0,0,0.39909072402646717,0.9706997625248274,0.4437130842073188,1.1164577919634517,-0.6707297865038251,0,0,0,-5.802197450485693,-151.27908031029713,30428,
8,0.9,0.4,1,pivot,20160,1,4h,primary,0,3,2,1,false,100,94.23305299256899,-5.766947007431014,27,8,18,29.629629629629626,34,34,100,79.41176470588235,2.4286918993997717,1.9286670965821717,5.884615384615383,0,0,0.510999548222764,0.9532987200501408,0.45518537599067355,1.1164577919634517,-0.7237163814180929,0,0,0,-5.766947007431014,-150.3600053130483,30492,
7,0.9,0.4,1,pivot,20160,1,4h,primary,0,3,1,1,false,100,91.49346513359723,-8.506534866402774,38,11,26,28.947368421052634,60,60,100,63.33333333333333,4.285926881293714,2.7144203581526862,5.1954954954954955,0,0,0.4928127005827353,0.9514040357172142,0.44507612535738794,1.1164577919634517,-0.7237163814180929,0,0,0,-8.506534866402774,-221.7885175743488,31471,
5,0.9,0.4,1,pivot,20160,1,4h,primary,0,2,2,1,false,100,93.09098229958266,-6.909017700417337,29,8,20,27.586206896551722,37,37,100,78.37837837837837,2.6429882434644574,2.0715313259586288,5.795238095238095,0,0,0.4673629622541067,0.9577906599394178,0.44856714899663314,1.1164577919634517,-0.7237163814180929,0,0,0,-6.909017700417337,-180.13689683711254,31504,
9,0.9,0.4,1,pivot,20160,1,4h,primary,0,3,3,1,false,100,92.77538983811604,-7.224610161883958,21,4,16,19.047619047619047,24,24,100,87.5,1.7143707525174858,1.5000744084528002,5.498333333333333,0,0,0.29765293891988437,0.9654429577622704,0.4428988745583116,1.1164577919634517,-0.6707297865038251,0,0,0,-7.224610161883959,-188.3652513064243,29290,
10,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,1,1,1,false,100,90.97767403303126,-9.022325966968737,43,13,29,30.23255813953488,81,81,100,53.086419753086425,5.786001289746515,3.0715809315938287,4.902380952380951,0,0,0.5177157930545576,0.9450124565745506,0.4450857897392363,1.1164577919634517,-0.7237163814180929,0,0,0,-9.022325966968737,-235.23659547788915,29477,
11,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,1,2,1,false,100,89.635151937399,-10.364848062600998,31,6,24,19.35483870967742,41,41,100,75.60975609756098,2.928716702217372,2.214395555335086,4.931666666666667,0,0,0.31388543203973773,0.9902894949035611,0.4294410430009308,1.1569521755476313,-0.6101354057485663,0,0,0,-10.364848062600998,-270.2398006698291,29900,
12,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,1,3,1,false,100,96.27868736543769,-3.72131263456231,23,8,15,34.78260869565217,27,27,100,85.18518518518519,1.9286670965821717,1.6429386378292574,5.260869565217391,0,0,0.6214571279526803,0.9636639179009556,0.45537493185132755,1.1164577919634517,-0.6707297865038251,0,0,0,-3.7213126345623095,-97.02474927952527,30310,
13,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,2,1,1,false,100,90.92083375475734,-9.07916624524266,39,11,27,28.205128205128204,67,67,100,58.2089552238806,4.785951684111314,2.7858524728409146,5.208771929824561,0,0,0.47654251602038566,0.9514040357172142,0.4423929865974805,1.1164577919634517,-0.7237163814180929,0,0,0,-9.07916624524266,-236.71857624383858,29208,
15,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,2,3,1,false,100,94.19780254951431,-5.802197450485693,21,5,15,23.809523809523807,25,25,100,84,1.7858028672057142,1.5000744084528002,5.616666666666666,0,0,0.39909072402646717,0.9706997625248274,0.4437130842073188,1.1164577919634517,-0.6707297865038251,0,0,0,-5.802197450485693,-151.27908031029713,29516,
16,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,3,1,1,false,100,91.49346513359723,-8.506534866402774,38,11,26,28.947368421052634,60,60,100,63.33333333333333,4.285926881293714,2.7144203581526862,5.1954954954954955,0,0,0.4928127005827353,0.9514040357172142,0.44507612535738794,1.1164577919634517,-0.7237163814180929,0,0,0,-8.506534866402774,-221.7885175743488,31548,
14,0.9,0.4,1,pivot,20160,1,4h,primary,0.01,2,2,1,false,100,93.09098229958266,-6.909017700417337,29,8,20,27.586206896551722,37,37,100,78.37837837837837,2.6429882434644574,2.0715313259586288,5.795238095238095,0,0,0.4673629622541067,0.9577906599394178,0.44856714899663314,1.1164577919634517,-0.7237163814180929,0,0,0,-6.909017700417337,-180.13689683711254,31804,
20,0.9,0.4,1,pivot,20160,1,4h,primary,0.02,1,2,1,false,100,96.59577389263313,-3.4042261073668674,28,10,17,35.714285714285715,41,41,100,68.29268292682927,2.928716702217372,2.0000992112704004,6.966666666666667,0,0,0.6949886454151021,0.9756755463302204,0.45652832768641494,1.1569521755476313,-0.7237163814180929,0,0,0,-3.404226107366867,-88.75744045002358,29035,
