Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Lookback,MinLegBars,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)",1,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
2,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B2)",1,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
3,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B3)",1,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
4,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B4)",1,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
5,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B5)",1,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
6,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B1)",2,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
7,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B2)",2,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
8,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B3)",2,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
9,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B4)",2,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
10,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B5)",2,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
11,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B1)",3,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
12,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B2)",3,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
13,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B3)",3,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
14,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B4)",3,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
15,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B5)",3,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
16,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B1)",4,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
17,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B2)",4,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
18,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B3)",4,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
19,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B4)",4,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
20,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B5)",4,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
21,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L5,B1)",5,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
22,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L5,B2)",5,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
23,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L5,B3)",5,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
24,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L5,B4)",5,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
25,10.00,cascade,both,0.9,0.4,1,"4h(0.2%,L5,B5)",5,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
26,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L1,B1)",1,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
27,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L1,B2)",1,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
28,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L1,B3)",1,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
29,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L1,B4)",1,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
30,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L1,B5)",1,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
31,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L2,B1)",2,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
32,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L2,B2)",2,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
33,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L2,B3)",2,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
34,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L2,B4)",2,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
35,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L2,B5)",2,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
36,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L3,B1)",3,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
37,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L3,B2)",3,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
38,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L3,B3)",3,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
39,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L3,B4)",3,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
40,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L3,B5)",3,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
41,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L4,B1)",4,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
42,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L4,B2)",4,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
43,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L4,B3)",4,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
44,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L4,B4)",4,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
45,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L4,B5)",4,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
46,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L5,B1)",5,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
47,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L5,B2)",5,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
48,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L5,B3)",5,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
49,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L5,B4)",5,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
50,10.00,cascade,both,0.9,0.4,1,"4h(0.3%,L5,B5)",5,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
51,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L1,B1)",1,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
52,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L1,B2)",1,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
53,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L1,B3)",1,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
54,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L1,B4)",1,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
55,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L1,B5)",1,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
56,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L2,B1)",2,1,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
57,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L2,B2)",2,2,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
58,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L2,B3)",2,3,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
59,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L2,B4)",2,4,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
60,10.00,cascade,both,0.9,0.4,1,"4h(0.4%,L2,B5)",2,5,0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
