Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,19.71,cascade,both,0.9,0.4,1,"6h(0.3%,L1,B4)","6h: swing=0.3%, lookback=1, minLegBars=4",13,30.8,-1.86,-0.14,3.3,0.63,-0.23,98.14
2,19.69,cascade,both,0.9,0.4,1,"6h(0.1%,L2,B4)","6h: swing=0.1%, lookback=2, minLegBars=4",13,30.8,-1.68,-0.13,4.5,0.66,-0.20,98.32
3,19.69,cascade,both,0.9,0.4,1,"6h(0.2%,L2,B4)","6h: swing=0.2%, lookback=2, minLegBars=4",13,30.8,-1.68,-0.13,4.5,0.66,-0.20,98.32
4,19.69,cascade,both,0.9,0.4,1,"6h(0.3%,L2,B4)","6h: swing=0.3%, lookback=2, minLegBars=4",13,30.8,-1.68,-0.13,4.5,0.66,-0.20,98.32
5,19.69,cascade,both,0.9,0.4,1,"6h(0.4%,L2,B4)","6h: swing=0.4%, lookback=2, minLegBars=4",13,30.8,-1.68,-0.13,4.5,0.66,-0.20,98.32
6,19.60,cascade,both,0.9,0.4,1,"6h(0.4%,L1,B5)","6h: swing=0.4%, lookback=1, minLegBars=5",10,30.0,-1.41,-0.14,3.0,0.63,-0.23,98.59
7,17.57,cascade,both,0.9,0.4,1,"6h(0.5%,L2,B2)","6h: swing=0.5%, lookback=2, minLegBars=2",23,26.1,-4.29,-0.19,6.0,0.53,-0.31,95.71
8,17.57,cascade,both,0.9,0.4,1,"6h(0.6%,L2,B2)","6h: swing=0.6%, lookback=2, minLegBars=2",23,26.1,-4.29,-0.19,6.0,0.53,-0.31,95.71
9,17.57,cascade,both,0.9,0.4,1,"6h(0.7%,L2,B2)","6h: swing=0.7%, lookback=2, minLegBars=2",23,26.1,-4.29,-0.19,6.0,0.53,-0.31,95.71
10,17.43,cascade,both,0.9,0.4,1,"6h(0.1%,L2,B3)","6h: swing=0.1%, lookback=2, minLegBars=3",16,25.0,-3.08,-0.19,4.9,0.51,-0.32,96.92
11,17.43,cascade,both,0.9,0.4,1,"6h(0.2%,L2,B3)","6h: swing=0.2%, lookback=2, minLegBars=3",16,25.0,-3.08,-0.19,4.9,0.51,-0.32,96.92
12,17.43,cascade,both,0.9,0.4,1,"6h(0.3%,L2,B3)","6h: swing=0.3%, lookback=2, minLegBars=3",16,25.0,-3.08,-0.19,4.9,0.51,-0.32,96.92
13,17.43,cascade,both,0.9,0.4,1,"6h(0.4%,L2,B3)","6h: swing=0.4%, lookback=2, minLegBars=3",16,25.0,-3.08,-0.19,4.9,0.51,-0.32,96.92
14,17.29,cascade,both,0.9,0.4,1,"6h(0.1%,L5,B1)","6h: swing=0.1%, lookback=5, minLegBars=1",20,25.0,-4.06,-0.20,4.8,0.49,-0.35,95.94
15,17.29,cascade,both,0.9,0.4,1,"6h(0.2%,L5,B1)","6h: swing=0.2%, lookback=5, minLegBars=1",20,25.0,-4.06,-0.20,4.8,0.49,-0.35,95.94
16,17.29,cascade,both,0.9,0.4,1,"6h(0.3%,L5,B1)","6h: swing=0.3%, lookback=5, minLegBars=1",20,25.0,-4.06,-0.20,4.8,0.49,-0.35,95.94
17,17.29,cascade,both,0.9,0.4,1,"6h(0.4%,L5,B1)","6h: swing=0.4%, lookback=5, minLegBars=1",20,25.0,-4.06,-0.20,4.8,0.49,-0.35,95.94
18,17.29,cascade,both,0.9,0.4,1,"6h(0.5%,L5,B1)","6h: swing=0.5%, lookback=5, minLegBars=1",20,25.0,-4.06,-0.20,4.8,0.49,-0.35,95.94
19,17.29,cascade,both,0.9,0.4,1,"6h(0.6%,L5,B1)","6h: swing=0.6%, lookback=5, minLegBars=1",20,25.0,-4.06,-0.20,4.8,0.49,-0.35,95.94
20,17.29,cascade,both,0.9,0.4,1,"6h(0.7%,L5,B1)","6h: swing=0.7%, lookback=5, minLegBars=1",20,25.0,-4.06,-0.20,4.8,0.49,-0.35,95.94
21,17.18,cascade,both,0.9,0.4,1,"6h(0.1%,L2,B2)","6h: swing=0.1%, lookback=2, minLegBars=2",24,25.0,-4.65,-0.19,6.3,0.52,-0.32,95.35
22,17.18,cascade,both,0.9,0.4,1,"6h(0.2%,L2,B2)","6h: swing=0.2%, lookback=2, minLegBars=2",24,25.0,-4.65,-0.19,6.3,0.52,-0.32,95.35
23,17.18,cascade,both,0.9,0.4,1,"6h(0.3%,L2,B2)","6h: swing=0.3%, lookback=2, minLegBars=2",24,25.0,-4.65,-0.19,6.3,0.52,-0.32,95.35
24,17.18,cascade,both,0.9,0.4,1,"6h(0.4%,L2,B2)","6h: swing=0.4%, lookback=2, minLegBars=2",24,25.0,-4.65,-0.19,6.3,0.52,-0.32,95.35
