Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,1384.13,cascade,both,0.9,0.4,80,"2h(0.1%,L4,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,339.11,42.39,43.9,1.88,0.29,439.11
2,1384.13,cascade,both,0.9,0.4,80,"2h(0.2%,L4,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,339.11,42.39,43.9,1.88,0.29,439.11
3,1384.13,cascade,both,0.9,0.4,80,"2h(0.3%,L4,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,339.11,42.39,43.9,1.88,0.29,439.11
4,1384.13,cascade,both,0.9,0.4,80,"2h(0.4%,L4,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,339.11,42.39,43.9,1.88,0.29,439.11
5,1384.13,cascade,both,0.9,0.4,80,"2h(0.5%,L4,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,339.11,42.39,43.9,1.88,0.29,439.11
6,1384.13,cascade,both,0.9,0.4,80,"2h(0.6%,L4,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,339.11,42.39,43.9,1.88,0.29,439.11
7,1254.68,cascade,both,0.9,0.4,80,"2h(0.6%,L2,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,308.11,38.51,64.5,1.36,0.14,408.11
8,1227.78,cascade,both,0.9,0.4,80,"2h(0.7%,L4,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,62.5,300.09,37.51,43.9,1.84,0.29,400.09
9,517.72,cascade,both,0.9,0.4,80,"2h(0.7%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,48.0,125.14,5.01,85.0,1.10,0.04,225.14
10,289.01,cascade,both,0.9,0.4,80,"2h(0.6%,L3,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=3, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",28,46.4,68.14,2.43,87.0,1.06,0.02,168.14
