Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
1,-0.38,43.8,16,99.62,2.14,0.18,26,240,0,0.2,3,0.9,0.4,1,short
2,-0.38,43.8,16,99.62,2.14,0.18,26,240,1,0.2,3,0.9,0.4,1,short
3,-0.38,43.8,16,99.62,2.14,0.18,26,60,0,0.2,3,0.9,0.4,1,short
4,-0.38,43.8,16,99.62,2.14,0.18,26,60,1,0.2,3,0.9,0.4,1,short
5,-0.38,43.8,16,99.62,2.14,0.18,26,15,0,0.2,3,0.9,0.4,1,short
6,-0.38,43.8,16,99.62,2.14,0.18,26,15,1,0.2,3,0.9,0.4,1,short
7,-0.38,43.8,16,99.62,2.14,0.18,26,5,0,0.2,3,0.9,0.4,1,short
8,-0.38,43.8,16,99.62,2.14,0.18,26,5,1,0.2,3,0.9,0.4,1,short
9,-0.49,42.9,14,99.51,2.14,0.17,22,240,0,0.3,3,0.9,0.4,1,short
10,-0.49,42.9,14,99.51,2.14,0.17,21,240,0,0.4,3,0.9,0.4,1,short
11,-0.49,42.9,14,99.51,2.14,0.17,22,240,1,0.3,3,0.9,0.4,1,short
12,-0.49,42.9,14,99.51,2.14,0.17,21,240,1,0.4,3,0.9,0.4,1,short
13,-0.49,42.9,14,99.51,2.14,0.17,22,60,0,0.3,3,0.9,0.4,1,short
14,-0.49,42.9,14,99.51,2.14,0.17,21,60,0,0.4,3,0.9,0.4,1,short
15,-0.49,42.9,14,99.51,2.14,0.17,22,60,1,0.3,3,0.9,0.4,1,short
16,-0.49,42.9,14,99.51,2.14,0.17,21,60,1,0.4,3,0.9,0.4,1,short
17,-0.49,42.9,14,99.51,2.14,0.17,22,15,0,0.3,3,0.9,0.4,1,short
18,-0.49,42.9,14,99.51,2.14,0.17,21,15,0,0.4,3,0.9,0.4,1,short
19,-0.49,42.9,14,99.51,2.14,0.17,22,15,1,0.3,3,0.9,0.4,1,short
20,-0.49,42.9,14,99.51,2.14,0.17,21,15,1,0.4,3,0.9,0.4,1,short
21,-0.49,42.9,14,99.51,2.14,0.17,22,5,0,0.3,3,0.9,0.4,1,short
22,-0.49,42.9,14,99.51,2.14,0.17,21,5,0,0.4,3,0.9,0.4,1,short
23,-0.49,42.9,14,99.51,2.14,0.17,22,5,1,0.3,3,0.9,0.4,1,short
24,-0.49,42.9,14,99.51,2.14,0.17,21,5,1,0.4,3,0.9,0.4,1,short
25,-0.91,40.0,15,99.09,2.62,0.14,25,240,2,0.1,3,0.9,0.4,1,short
26,-0.91,40.0,15,99.09,2.62,0.14,25,60,2,0.1,3,0.9,0.4,1,short
27,-0.91,40.0,15,99.09,2.62,0.14,25,15,2,0.1,3,0.9,0.4,1,short
28,-0.91,40.0,15,99.09,2.62,0.14,25,5,2,0.1,3,0.9,0.4,1,short
29,-1.31,38.9,18,98.69,2.84,0.13,32,240,0,0.4,2,0.9,0.4,1,short
30,-1.31,38.9,18,98.69,2.84,0.13,32,240,1,0.4,2,0.9,0.4,1,short
31,-1.31,38.9,18,98.69,2.84,0.13,32,60,0,0.4,2,0.9,0.4,1,short
32,-1.31,38.9,18,98.69,2.84,0.13,32,60,1,0.4,2,0.9,0.4,1,short
33,-1.31,38.9,18,98.69,2.84,0.13,32,15,0,0.4,2,0.9,0.4,1,short
34,-1.31,38.9,18,98.69,2.84,0.13,32,15,1,0.4,2,0.9,0.4,1,short
35,-1.31,38.9,18,98.69,2.84,0.13,32,5,0,0.4,2,0.9,0.4,1,short
